3	14B	102	
1	14D	104	
3	5B	104	
2	11D	100	503
2	10A	101	504
0	3A	102	505
0	3B	100	506
3	5C	104	507
0	2B	102	508
3	2A	103	509
2	7A	104	510
0	14D	100	511
1	4D	103	512
1	2D	100	NULL
3	7C	104	514
1	7D	101	515
1	5A	100	516
1	3B	104	517
1	7A	104	518
2	8B	103	519
3	8C	101	520
2	13C	104	521
2	4D	104	522
2	12A	105	523
3	4D	101	524
3	8C	102	525
1	3A	105	526
2	10A	102	527
3	10A	100	528
3	8D	101	529
0	8A	103	530
1	6A	102	531
2	3C	103	532
3	14C	100	533
2	13B	101	534
1	7B	105	535
2	8A	101	536
1	8B	105	537
3	3D	101	538
0	6C	104	539
1	6C	100	540
2	2D	102	541
0	9C	105	542
2	1A	100	543
1	1B	100	544
0	2C	101	545
1	10A	104	546
0	7A	105	547
3	13D	100	548
1	6B	102	549
2	5C	104	550
0	5D	101	551
1	10D	101	552
2	6C	105	553
0	3A	103	554
1	5D	101	555
1	12B	100	556
2	8A	103	557
0	2C	103	558
0	1D	103	559
2	3C	105	560
1	8A	103	561
0	5B	100	562
1	7C	101	563
2	8C	102	564
0	6A	101	565
0	5C	103	566
1	1D	105	567
1	2C	103	568
2	9C	101	569
3	9D	105	570
2	6C	102	571
2	9D	105	572
0	11B	104	573
1	10C	104	574
1	7A	101	575
1	3D	102	576
0	7D	103	577
3	3D	100	578
2	3A	105	579
2	4C	100	580
2	14D	103	581
3	3B	101	582
1	11A	101	583
1	9A	105	584
0	12A	104	585
0	3B	103	586
1	7D	102	587
0	11B	101	588
2	2A	102	589
0	10D	103	590
2	3A	101	591
1	3C	103	592
1	1C	105	593
3	7C	105	594
2	6B	101	595
1	5D	104	596
2	3C	100	597
3	11A	101	598
0	11D	105	599
0	5D	103	600
1	6B	104	601
1	10A	102	602
0	8C	100	603
0	7A	102	604
0	1D	101	605
1	2C	102	606
1	12D	103	607
0	13D	100	608
3	3C	103	609
3	12D	102	610
1	12C	105	611
0	10D	101	612
1	10C	105	613
2	11A	104	614
3	7D	102	615
0	7A	100	616
3	11C	104	617
2	14D	101	618
1	8A	100	619
1	6C	102	620
0	12A	101	621
2	8A	102	622
2	13B	100	623
1	3A	102	624
2	3C	104	625
3	5C	105	626
0	6D	100	627
3	5B	103	628
0	5D	102	629
0	7B	103	630
1	14B	101	631
3	8C	103	632
2	14D	102	633
1	7B	103	634
2	2C	104	635
2	6B	103	636
0	5A	104	637
2	9C	102	638
3	6D	101	639
2	10B	103	640
1	5B	101	641
1	10C	101	642
3	11A	102	643
2	5B	101	644
1	9C	105	645
3	8B	105	646
1	9B	105	647
0	9B	101	648
3	14C	104	649
2	5D	105	650
0	6D	101	651
2	2D	104	652
0	8A	102	653
0	4B	100	654
2	14A	104	655
1	13C	101	656
0	2C	105	657
1	14D	105	658
0	6C	105	659
2	4A	100	660
3	13B	103	661
3	13B	105	662
1	1D	104	663
1	11B	101	664
0	8A	101	665
3	4C	105	666
0	3C	105	667
3	5D	102	668
1	7A	100	669
1	13D	100	670
3	14B	101	671
1	3D	101	672
3	13A	101	673
1	2C	105	674
1	10D	100	675
3	1C	100	676
3	4B	103	677
3	6C	103	678
3	8D	103	679
0	11B	102	680
3	7B	100	681
2	5A	101	682
1	10C	100	683
3	11D	105	684
3	5C	102	685
1	6A	101	686
3	12B	105	687
3	6B	103	688
1	6A	103	689
0	8B	102	690
3	11C	103	
2	1A	105	692
2	12D	100	693
1	1D	102	694
3	13A	104	695
3	4B	100	696
1	13D	101	697
0	4C	101	698
2	7C	102	699
3	5B	105	700
0	5C	100	701
3	4A	104	702
1	7C	100	703
0	5D	104	704
0	4D	101	705
2	2D	101	706
2	9A	104	707
3	8A	102	708
0	7C	101	709
0	12C	102	710
1	1D	101	711
2	13B	104	712
2	14A	102	713
2	3B	100	714
0	7D	105	715
